Año,Trimestre,Provincia,Otros,"0,256 Mbps","0,375 Mbps","0,625 Mbps","0,5 Mbps","0,512 Mbps","0,75 Mbps",1 Mbps,"1,2 Mbps","1,25 Mbps","1,5 Mbps",2 Mbps,"2,2 Mbps","2,5 Mbps","6,7 Mbps",3 Mbps,"3,2 Mbps","3,3 Mbps","3,5 Mbps",4 Mbps,"4,5 Mbps",5 Mbps,6 Mbps,"6,4 Mbps",7 Mbps,"7,5 Mbps",8 Mbps,9 Mbps,10 Mbps,"10,6 Mbps",11 Mbps,12 Mbps,13 Mbps,14 Mbps,15 Mbps,16 Mbps,17 Mbps,18 Mbps,19 Mbps,20 Mbps,21 Mbps,22 Mbps,23 Mbps,24 Mbps,25 Mbps,"25,1 Mbps","25,11 Mbps","25,5 Mbps",26 Mbps,28 Mbps,29 Mbps,30 Mbps,31 Mbps,32 Mbps,34 Mbps,35 Mbps,36 Mbps,37 Mbps,38 Mbps,39 Mbps,40 Mbps,41 Mbps,45 Mbps,46 Mbps,47 Mbps,48 Mbps,49 Mbps,50 Mbps,51 Mbps,52 Mbps,54 Mbps,55 Mbps,56 Mbps,58 Mbps,59 Mbps,60 Mbps,61 Mbps,62 Mbps,63 Mbps,64 Mbps,65 Mbps,66 Mbps,67 Mbps,68 Mbps,70 Mbps,71 Mbps,75 Mbps,77 Mbps,78 Mbps,80 Mbps,81 Mbps,83 Mbps,82 Mbps,86 Mbps
2022,3,Buenos Aires,65821,19,0,0,297740,192,4611,23098,0,0,351,24140,0,25,0,608030,0,0,41976,13774,65,33037,1161440,0,11016,756,70240,275,2156280,0,10,30241,128,33,85776,301,2,15011,0,135542,3,1,18,25,68558,0,0,0,0,0,0,774648,1610,7,1,873,0,0,0,0,3307,9,0,0,0,0,1,959569,0,0,0,58,0,1,59,405103,78,1,0,0,14,0,0,0,3163,0,98387,0,2,223,0,1,0,0
2022,3,Capital Federal,105477,31,0,0,4510,35,1307,4435,0,0,0,329,0,0,0,45390,0,0,11975,991,0,3363,131740,0,7,0,16652,3,511670,0,5,3423,0,0,29793,5,0,11880,0,6840,1,0,0,0,22894,0,0,0,0,0,0,58853,0,0,0,9,0,0,0,30,122,0,0,0,0,0,0,361025,0,0,0,1,0,0,0,97849,0,0,0,0,0,1,0,0,3,0,30482,0,0,8,0,0,0,0
2022,3,Catamarca,2208,0,0,0,340,37,0,384,0,0,0,115,0,0,0,11470,0,0,0,0,0,18,18270,0,2,0,0,0,53870,0,0,637,0,0,776,0,0,0,0,3686,0,0,0,2622,210,0,0,0,0,0,0,905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,Chaco,3711,0,225,111,2340,2,0,876,0,25,0,780,0,0,0,44450,0,0,167,385,0,3638,73420,0,106,0,700,1,181310,0,0,2110,0,0,1776,0,0,188,0,3975,0,0,0,0,1438,0,0,0,0,0,0,14401,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,45596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,Chubut,20024,8,0,0,690,32,836,608,0,0,0,5486,0,0,0,51790,0,0,11441,5529,0,2419,156530,0,137,0,12602,209,179920,0,1,15018,0,0,18671,0,0,0,0,992,0,0,0,2572,4134,0,0,0,0,0,0,9592,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,16112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,Córdoba,13873,2,0,0,870,10,83,11229,0,0,7,8865,26,154,0,404490,0,6,4897,13423,0,7754,777430,13,2569,0,12185,2198,946500,0,88,15319,35,10,24281,134,0,2764,0,28358,0,0,0,2,21994,5,1,35,0,0,0,5202,0,0,0,8,0,0,0,0,510,0,0,0,0,0,0,366288,0,0,0,0,0,0,0,5081,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,0
2022,3,Corrientes,7107,0,0,0,100,57,118,3747,0,0,0,2959,0,0,0,69620,0,0,480,1688,0,1570,97680,0,0,0,2921,0,210270,0,0,143,0,0,1663,1108,0,168,0,4694,0,0,0,0,1229,0,0,0,0,0,0,20491,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,Entre Ríos,16759,1,0,0,200,86,113,5436,0,0,0,4659,0,0,0,108940,0,0,390,2393,0,5013,238610,0,1117,0,1541,3,441940,0,0,4300,0,0,3619,1,0,612,0,9731,0,0,0,0,3063,0,0,0,0,0,0,28976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,Formosa,589,0,0,0,490,48,0,307,0,0,0,1855,0,0,0,97310,0,0,0,3288,0,3105,55590,0,26,0,88,0,194310,0,0,322,0,0,570,0,0,170,0,5132,0,0,0,0,292,0,0,0,0,0,0,276,0,0,0,5,0,0,0,0,19,0,0,0,0,0,0,7797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,Jujuy,0,0,0,0,260,32,0,1879,0,0,0,1637,0,0,0,52700,0,0,0,2855,0,4736,46370,0,10,0,999,0,142450,0,0,23223,0,0,540,0,0,4,0,12316,0,0,0,0,333,0,0,0,26,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
