ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total_conexion,Accesos por cada 100 hab,Accesos por cada 100 hogares,Banda ancha fija,Dial up,Hasta 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Otros Mbps,Total suma Mbps
1567685,1000879,120960,16528,33824,2739876,17,54.57,2725732,14144,8469,171244,2279875,121787,38923,206,4037,0,2624542
445569,820161,17767,1866,14555,1299918,43,112.25,1289204,10714,852,88826,1096050,70293,38798,55,6208,0,1301081
24126,46,17,0,430,24232,6,24.25,24209,23,19,9147,13330,1672,64,0,0,0,24232
52971,9497,30,0,580,62556,6,20.72,62520,36,438,15849,40869,4644,741,5,0,0,62546
51066,539,866,10776,6974,70221,13,41.24,68205,2016,7452,10,61329,0,0,0,0,0,68791
52565,8279,31,1306,550,62236,6,22.32,62203,33,20,16357,40742,4486,630,0,0,0,62235
336841,225769,347,3585,3680,566910,16,52.52,566705,205,2076,107705,423114,24112,9818,40,588,0,567453
107883,21379,49,4887,1330,134331,10,34.37,134216,115,2177,35206,85248,10828,746,0,43,0,134248
20774,4548,0,0,1000,25422,4,17.42,25335,87,2062,8475,13685,1133,67,0,0,0,25422
29765,4030,23,0,90,33827,5,18.42,33825,2,1832,11498,18415,2002,56,0,0,0,33803
15826,31305,513,5848,7010,54193,16,48.43,53601,592,7434,6535,32501,17,5,4,10,0,46506
15663,0,14,0,340,15711,4,16.29,15688,23,10,5111,9390,1165,35,0,0,0,15711
148970,12076,2480,370,2282,165845,9,31.91,164084,1761,35,6,166655,19,10,6,9,0,166740
56597,17191,4,1500,80,73950,6,23.14,73950,0,545,14460,52852,5139,958,0,0,0,73954
47790,28161,997,10381,3051,90380,15,49.79,88077,2303,4133,987,77148,84,1582,2,22,0,83958
64886,24156,876,3576,1572,95066,14,44.91,93909,1157,4670,4618,84304,73,1062,1,8,0,94736
73131,17538,45,80,5680,91290,7,28.7,91265,25,53,19677,64061,7192,314,0,0,0,91297
48161,434,722,8080,1173,51298,7,27.6,50543,755,531,2,51056,0,0,0,0,0,51589
11306,428,354,210,4480,12557,3,9.35,12193,364,7,3,12544,0,1,0,2,0,12557
18927,100,381,4092,3264,26764,9,28.94,26304,460,161,1625,24972,1,1,0,0,0,26760
322662,174296,3059,5951,6440,506612,15,47.85,506000,612,8456,124468,345225,20328,6845,23,668,0,506013
32567,3598,19,9150,340,37133,4,16.31,37124,9,1234,10531,22817,2422,109,0,0,0,37113
21618,2837,648,10,2934,28038,19,63.97,27272,766,12,607,30902,6,0,0,0,0,31527
129717,83,121,130,980,130032,8,33.42,129944,88,6,34672,83210,11779,362,3,0,0,130032
1568881,1025490,120008,1702,33147,2764546,17,55.06,2750430,14116,6902,162274,2288772,140226,56549,284,4309,0,2659316
447637,828411,17729,1883,14555,1310215,43,113.14,1299502,10713,847,81431,1078213,87359,56004,59,6427,0,1310340
24380,243,17,0,430,24683,6,24.7,24660,23,19,8844,13794,1915,111,0,0,0,24683
53321,9870,30,0,580,63279,6,20.96,63243,36,412,14854,41530,5418,1085,5,0,0,63304
51070,649,866,1096,6974,70519,13,41.41,68503,2016,2064,6582,61868,0,0,0,0,0,70514
52883,8680,31,1309,550,62958,6,22.58,62925,33,20,15563,41219,5199,956,0,0,0,62957
337825,234729,351,3673,3740,576952,16,53.45,576747,205,2105,101598,429536,28698,14824,76,627,0,577464
108900,21706,49,4795,1330,135583,10,34.69,135468,115,2187,32781,86757,12564,1162,0,44,0,135495
20894,4628,0,0,780,25600,4,17.54,25535,65,2032,8218,13944,1321,85,0,0,0,25600
30128,4161,23,400,90,34361,5,18.71,34359,2,1873,11233,18851,2305,82,0,0,0,34344
15957,32600,513,5869,6890,55628,16,49.71,55048,580,7032,6761,34089,18,5,4,10,0,47919
15864,0,14,0,340,15912,4,16.5,15889,23,10,4785,9719,1337,61,0,0,0,15912
148979,13030,2480,360,2282,166807,9,32.1,165046,1761,35,6,166710,31,10,5,10,0,166807
56933,17594,4,1500,80,74689,6,23.37,74689,0,540,13644,53245,5924,1334,2,0,0,74689
47767,29776,997,10765,2983,92288,15,50.84,90053,2235,1531,3206,79087,92,2289,2,30,0,86237
64920,24944,876,3657,156,95957,14,45.33,94812,1145,3468,5507,84978,78,1569,2,8,0,95610
73841,17504,45,70,5770,91974,7,28.91,91949,25,53,18818,64440,8293,388,0,0,0,91992
48161,451,722,1139,1173,51646,7,27.78,50891,755,10,507,51129,0,0,0,0,0,51646
11306,925,354,220,4480,13055,3,9.72,12691,364,7,0,13045,0,0,1,2,0,13055
18956,448,381,4118,3266,27169,9,29.38,26710,459,153,1637,25374,2,0,0,0,0,27166
324101,178495,3085,6041,6360,512358,15,48.39,511753,605,8515,115197,353559,23939,10058,34,792,0,512094
32820,4231,19,9070,340,38011,4,16.7,38002,9,1231,9914,23842,2867,142,0,0,0,37996
21618,3008,648,10,2934,28209,19,64.36,27443,766,12,334,31198,2,0,0,0,0,31546
131740,97,121,130,980,132069,8,33.94,131981,88,6,32714,84675,14101,559,4,0,0,132059
1562533,1110628,124474,20049,31881,2849565,17,56.75,2835537,14028,7355,128187,2281524,156693,68947,243,4232,0,2647181
450155,833402,17886,1995,14387,1317825,43,113.8,1307195,10630,840,78016,1060145,102170,70907,95,6626,0,1318799
24380,244,15,0,470,24686,6,24.71,24665,21,19,8845,13790,1915,111,0,0,0,24680
53321,10336,29,10,590,63746,6,21.11,63710,36,398,14731,41934,5428,1274,5,0,0,63770
49219,668,882,11853,6515,69137,12,40.6,67130,2007,2013,6281,60771,34,0,0,0,0,69099
