Provincia,Partido,Localidad,ADSL,CableModem,Dial Up,Fibra Optica,Otras conexiones,Satelital,WIMAX,Wireless,Total general,Poblacion,Telefonia Fija,Latitud,Longitud
BUENOS AIRES,25 de Mayo,25 de Mayo,873,4704,0,2,0,975,0,664,7218,23408,SI,-35.4339385892588,-60.1731209454056
BUENOS AIRES,25 de Mayo,Del Valle,181,0,0,0,10,1,0,0,192,899,--,-35.8973453887603,-60.7316089512944
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,0,0,0,0,0,0,0,181,181,547,--,-35.1643973648093,-60.0813577815069
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,0,782,0,6,167,0,0,327,1282,4524,SI,-35.2727788695321,-59.7719327250509
BUENOS AIRES,25 de Mayo,Lucas Monteverde,0,0,0,0,0,0,0,6,6,63,--,-35.4838272164734,-59.9880647932831
BUENOS AIRES,25 de Mayo,Ernestina,66,0,0,0,0,0,0,0,66,145,--,-35.2702340519789,-59.5575034078873
BUENOS AIRES,25 de Mayo,Pedernales,568,0,0,0,0,0,0,7,575,1432,--,-35.2666085074294,-59.6306574695384
BUENOS AIRES,9 de Julio,12 de Octubre,0,0,0,0,0,0,0,19,19,219,SI,-35.607730780146,-60.9182929927645
BUENOS AIRES,9 de Julio,9 de Julio,4360,3362,82,5886,83,1,0,831,14605,36494,SI,-35.4447435053964,-60.8843433362719
BUENOS AIRES,9 de Julio,Dudignac,0,0,1,0,0,0,0,463,464,2670,SI,-35.6511928511123,-60.7098962799094
BUENOS AIRES,9 de Julio,Patricios,76,0,0,0,0,0,0,0,76,745,SI,-35.4395526972374,-60.7174384712323
BUENOS AIRES,Adolfo Alsina,Carhué,780,0,1,1418,1,0,0,283,2483,9660,SI,-37.1774801030509,-62.7578962604015
BUENOS AIRES,Adolfo Alsina,Maza,0,0,0,390,0,2,0,14,406,1748,SI,-36.7999468137731,-63.3385151506224
BUENOS AIRES,Adolfo Alsina,Rivera,0,0,0,1202,0,0,0,0,1202,3217,SI,-37.1583546113813,-63.2442194943605
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,0,0,0,198,0,0,0,0,198,563,SI,-37.4486186469627,-63.117609405389
BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,0,0,0,58,0,0,0,0,58,104,SI,-37.4544378016288,-63.2565950033782
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,0,0,0,630,0,0,0,59,689,1625,SI,-37.9635021758562,-60.415659383962
BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,0,0,0,0,0,0,0,45,45,212,SI,-37.8233871716044,-60.484639770555
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,0,0,0,0,0,0,0,14,14,43,SI,-38.1766861391835,-60.1708487303777
BUENOS AIRES,Alberti,Mechita,285,0,0,0,0,0,0,0,285,412,--,-35.068013673391,-60.4025971632697
BUENOS AIRES,Almirante Brown,Adrogué,214,9259,59,11442,2,1,0,26,21003,30271,SI,-34.8015580737331,-58.3914677191541
BUENOS AIRES,Almirante Brown,Burzaco,142,16127,35,11335,40,2,0,292,27973,92223,SI,-34.8315415891783,-58.3986874871405
BUENOS AIRES,Almirante Brown,Claypole,5,7568,3,4149,13,0,0,2,11740,44098,SI,-34.8044759080477,-58.3447825531042
BUENOS AIRES,Almirante Brown,Don Orione,0,5184,0,0,0,0,0,1,5185,46366,--,-34.8210751643113,-58.3447457989957
